date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:19:48	3963/3963	---M--	200	added ('OK')	image/png	date:Thu,%2005%20Mar%202020%2010:02:44%20GMT	https://www.datacaptive.com/wp-content/uploads/2019/10/tabs-bg.png	C:/Users/lakshmi%20kanth/Desktop/wexinfinity%20files/datacaptive/www.datacaptive.com/wp-content/uploads/2019/10/tabs-bg.png	(from https://www.datacaptive.com/)
14:19:48	2970/2970	---M--	200	added ('OK')	image/png	date:Thu,%2005%20Mar%202020%2009:26:38%20GMT	https://www.datacaptive.com/wp-content/uploads/2019/04/Logo.png	C:/Users/lakshmi%20kanth/Desktop/wexinfinity%20files/datacaptive/www.datacaptive.com/wp-content/uploads/2019/04/Logo.png	(from https://www.datacaptive.com/)
14:19:49	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2016%20Mar%202020%2008:49:49%20GMT	https://www.datacaptive.com/wp-content/uploads/2019/10/service-Our-Data-Enrichment-services.png	C:/Users/lakshmi%20kanth/Desktop/wexinfinity%20files/datacaptive/www.datacaptive.com/wp-content/uploads/2019/10/service-Our-Data-Enrichment-services.png	(from https://www.datacaptive.com/)
14:19:51	19053/19053	---M--	200	added ('OK')	image/png	date:Thu,%2005%20Mar%202020%2010:05:30%20GMT	https://www.datacaptive.com/wp-content/uploads/2019/11/data-appending-bannersbg-dc.png	C:/Users/lakshmi%20kanth/Desktop/wexinfinity%20files/datacaptive/www.datacaptive.com/wp-content/uploads/2019/11/data-appending-bannersbg-dc.png	(from https://www.datacaptive.com/)
14:19:52	581243/581243	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Mar%202020%2008:49:52%20GMT	https://www.datacaptive.com/discover-leads/	C:/Users/lakshmi%20kanth/Desktop/wexinfinity%20files/datacaptive/www.datacaptive.com/discover-leads/index.html	(from https://www.datacaptive.com/)
14:19:53	15349/15349	---M--	200	added ('OK')	image/png	date:Thu,%2005%20Mar%202020%2009:58:14%20GMT	https://www.datacaptive.com/wp-content/uploads/2019/10/servicebanner3.png	C:/Users/lakshmi%20kanth/Desktop/wexinfinity%20files/datacaptive/www.datacaptive.com/wp-content/uploads/2019/10/servicebanner3.png	(from https://www.datacaptive.com/)
14:19:53	456851/456851	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Mar%202020%2008:49:53%20GMT	https://www.datacaptive.com/b2b-contact-data/	C:/Users/lakshmi%20kanth/Desktop/wexinfinity%20files/datacaptive/www.datacaptive.com/b2b-contact-data/index.html	(from https://www.datacaptive.com/)
14:19:55	44002/44002	---M--	200	added ('OK')	image/png	date:Thu,%2005%20Mar%202020%2009:58:57%20GMT	https://www.datacaptive.com/wp-content/uploads/2019/10/servicesbanner1-1.png	C:/Users/lakshmi%20kanth/Desktop/wexinfinity%20files/datacaptive/www.datacaptive.com/wp-content/uploads/2019/10/servicesbanner1-1.png	(from https://www.datacaptive.com/)
14:19:55	511836/511836	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Mar%202020%2008:49:55%20GMT	https://www.datacaptive.com/contact-insights/	C:/Users/lakshmi%20kanth/Desktop/wexinfinity%20files/datacaptive/www.datacaptive.com/contact-insights/index.html	(from https://www.datacaptive.com/)
14:20:02	459759/459759	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Mar%202020%2008:49:56%20GMT	https://www.datacaptive.com/b2b-company-data/	C:/Users/lakshmi%20kanth/Desktop/wexinfinity%20files/datacaptive/www.datacaptive.com/b2b-company-data/index.html	(from https://www.datacaptive.com/)
14:20:02	513429/513429	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Mar%202020%2008:49:58%20GMT	https://www.datacaptive.com/company-insights/	C:/Users/lakshmi%20kanth/Desktop/wexinfinity%20files/datacaptive/www.datacaptive.com/company-insights/index.html	(from https://www.datacaptive.com/)
